らち	ɾ a̠ t͡ɕ i
はくだつ	h a̠ k ɯ̟ᵝ d a̠ t͡s ɨᵝ
だいひょうだん	d a̠ i ç o̞ː d ã̠ ɴ
フォービスム	ɸ o̞ː bʲ i s ɨᵝ m ɯ̟ᵝ
きにする	kʲ i ɲ̟ i s ɨᵝ ɾ ɯ̟ᵝ
かいせき	k a̠ i s e̞ kʲ i
くる	k ɯ̟ᵝ ɾ ɯ̟ᵝ
パートナー	p a̠ː t o̞ n a̠ː
おかあさん	o̞ k a̠ː s ã̠ ɴ
ひたたれ	ç i̥ t a̠ t a̠ ɾ e̞
コバルト	k o̞ b a̠ ɾ ɯ̟ᵝ t o̞
かんじょう	k ã̠ ɲ̟ d͡ʑ o̞ː
みけねこ	mʲ i k e̞ n e̞ k o̞
タオル	t a̠ o̞ ɾ ɯ̟ᵝ
みずさわ	mʲ i z ɨᵝ s a̠ ɰᵝ a̠
ツイフェミ	t͡s ɨᵝ i ɸ e̞ mʲ i
ぎょりゅう	ɡʲ o̞ ɾʲ ɨᵝː
さよなら	s a̠ j o̞ n a̠ ɾ a̠
したまわる	ɕ i t a̠ m a̠ ɰᵝ a̠ ɾ ɯ̟ᵝ
ノンケ	n õ̞ ŋ k e̞
ぶじそくさい	b ɯ̟ᵝ ʑ i s o̞ k ɯ̟ᵝ s a̠ i
たつや	t a̠ t͡s ɨᵝ j a̠
かんわじてん	k ã̠ ɰ̃ ɰᵝ a̠ ʑ i t ẽ̞ ɴ
ごくしょ	ɡ o̞ k ɯ̟ᵝ ɕ o̞
にいづま	ɲ̟ iː z ɨᵝ m a̠
いっちょういっせき	i t̚ t͡ɕ o̞ː i sː e̞ kʲ i
さんじゅう	mʲ i e̞
しゅゆ	ɕ ɨᵝ j ɯ̟ᵝ
なごん	n a̠ ɡ õ̞ ɴ
めんえきけい	m ẽ̞ ɰ̃ e̞ kʲ i̥ k e̞ː
スコピエ	s ɨ̥ᵝ k o̞ pʲ i e̞
あっせい	a̠ sː e̞ː
ゆざい	j ɯ̟ᵝ z a̠ i
なきがら	n a̠ kʲ i ɡ a̠ ɾ a̠
めいえん	m e̞ː ẽ̞ ɴ
ヒットエンドラン	ç i̥ t̚ t o̞ ẽ̞ n d o̞ ɾ ã̠ ɴ
きき	kʲ i kʲ i
うまい	ɯ̟ᵝ m a̠ i
サファイア	s a̠ ɸ a̠ i a̠
ワンタン	ɰᵝ ã̠ n t ã̠ ɴ
しも	ɕ i m o̞
みみなり	mʲ i mʲ i n a̠ ɾʲ i
かこう	k a̠ k o̞ ɯ̟ᵝ
たきがわ	t a̠ kʲ i ɡ a̠ ɰᵝ a̠
オバマ	o̞ b a̠ m a̠
うち	ɯ̟ᵝ t͡ɕ i
ちゅうごくご	t͡ɕ ɨᵝː ɡ o̞ k ɯ̟ᵝ ɡ o̞
とどける	t o̞ d o̞ k e̞ ɾ ɯ̟ᵝ
すげない	s ɨᵝ ɡ e̞ n a̠ i
かざりだな	k a̠ z a̠ ɾʲ i d a̠ n a̠
かばね	k a̠ b a̠ n e̞
インド	ĩ n d o̞
トースト	t o̞ː s ɨ̥ᵝ t o̞
うきわ	ɯ̟ᵝ kʲ i ɰᵝ a̠
スルホン	s ɨᵝ ɾ ɯ̟ᵝ h õ̞ ɴ
ぼうえいぐん	b o̞ː e̞ː ɡ ɯ̟̃ᵝ ɴ
おとをたてる	o̞ t o̞ o̞ t a̠ t e̞ ɾ ɯ̟ᵝ
アノード	a̠ n o̞ː d o̞
にちじょうさはんじ	ɲ̟ i t͡ɕ i ʑ o̞ː s a̠ h ã̠ ɲ̟ d͡ʑ i
ボウリングボール	b o̞ː ɾʲ ĩ ŋ ɡ ɯ̟ᵝ b o̞ː ɾ ɯ̟ᵝ
まうしろ	m a̠ ɯ̟ᵝ ɕ i ɾ o̞
ナイトテーブル	n a̠ i t o̞ t e̞ː b ɯ̟ᵝ ɾ ɯ̟ᵝ
みぢか	mʲ i ʑ i k a̠
おぐらやま	o̞ ɡ ɯ̟ᵝ ɾ a̠ j a̠ m a̠
えいれんぽう	e̞ː ɾ ẽ̞ m p o̞ː
サパークラブ	s a̠ p a̠ː k ɯ̟ᵝ ɾ a̠ b ɯ̟ᵝ
いきごみ	i kʲ i ɡ o̞ mʲ i
はらだち	h a̠ ɾ a̠ d a̠ t͡ɕ i
キュリウム	kʲ ɨᵝ ɾʲ i ɯ̟ᵝ m ɯ̟ᵝ
ぎょうかいがん	ɡʲ o̞ː k a̠ i ɡ ã̠ ɴ
じょおう	d͡ʑ o̞ o̞ː
エリマキトカゲ	e̞ ɾʲ i m a̠ kʲ i t o̞ k a̠ ɡ e̞
ブラケット	b ɯ̟ᵝ ɾ a̠ k e̞ t̚ t o̞
けながいたち	k e̞ n a̠ ɡ a̠ i t a̠ t͡ɕ i
さいていげん	s a̠ i t e̞ː ɡ ẽ̞ ɴ
はかどる	h a̠ k a̠ d o̞ ɾ ɯ̟ᵝ
インボイス	ĩ m b o̞ i s ɨ̥ᵝ
じょうと	d͡ʑ o̞ː t o̞
ほうか	h o̞ː k a̠
たてもの	t a̠ t e̞ m o̞ n o̞
マクド	m a̠ k ɯ̟ᵝ d o̞
エンターテイメント	ẽ̞ n t a̠ː t e̞ː m ẽ̞ n t o̞
とどけで	t o̞ d o̞ k e̞ d e̞
ナレーター	n a̠ ɾ e̞ː t a̠ː
まひわ	m a̠ ç i ɰᵝ a̠
はゆ	h a̠ j ɯ̟ᵝ
せいこうしょう	s e̞ː k o̞ː ɕ o̞ː
がさん	ɡ a̠ s ã̠ ɴ
こんごういんこ	k õ̞ ŋ ɡ o̞ː ĩ ŋ k o̞
てっつい	t e̞ t̚ t͡s ɨᵝ i
もだま	m o̞ d a̠ m a̠
けいほう	k e̞ː h o̞ː
あかねずみ	a̠ k a̠ n e̞ z ɨᵝ mʲ i
こいのぼり	k o̞ i n o̞ b o̞ ɾʲ i
せいさんかくけい	s e̞ː s ã̠ ŋ k a̠ k ɯ̟ᵝ k e̞ː
ホストファミリー	h o̞ s ɨ̥ᵝ t o̞ ɸ a̠ mʲ i ɾʲ iː
トランスミッタ	t o̞ ɾ ã̠ ɰ̃ s ɨᵝ mʲ i t̚ t a̠
さいほくたん	s a̠ i h o̞ k ɯ̟ᵝ t ã̠ ɴ
せつない	s e̞ t͡s ɨᵝ n a̠ i
ディクテーション	dʲ i k ɯ̟ᵝ t e̞ː ɕ õ̞ ɴ
キャッキャウフフ	kʲ a̠ k̚ʲ kʲ a̠ ɯ̟ᵝ ɸ ɯ̟ᵝ ɸ ɯ̟ᵝ
スーパースター	s ɨᵝː p a̠ː s ɨ̥ᵝ t a̠ː
かれし	k a̠ ɾ e̞ ɕ i
しつどけい	ɕ i̥ t͡s ɨᵝ d o̞ k e̞ː
パティシエ	p a̠ tʲ i ɕ i e̞
シャープペンシル	ɕ a̠ː p ɯ̟ᵝ ̥ p ẽ̞ ɰ̃ ɕ i ɾ ɯ̟ᵝ
にぎりしめる	ɲ̟ i ɡʲ i ɾʲ i ɕ i m e̞ ɾ ɯ̟ᵝ
どくだんじょう	d o̞ k ɯ̟ᵝ d ã̠ ɲ̟ d͡ʑ o̞ː
くさち	k ɯ̟ᵝ s a̠ t͡ɕ i
かぎり	k a̠ ɡʲ i ɾʲ i
まんじ	m ã̠ ɲ̟ d͡ʑ i
おんぞん	õ̞ n d͡z õ̞ ɴ
ざっとう	d͡z a̠ t̚ t o̞ː
せっちゃくざい	s e̞ t̚ t͡ɕ a̠ k ɯ̟ᵝ z a̠ i
いんれつ	ĩ n ɾ e̞ t͡s ɨᵝ
かんせつわほう	k ã̠ ɰ̃ s e̞ t͡s ɨᵝ ɰᵝ a̠ h o̞ː
えし	e̞ ɕ i
かよう	k a̠ j o̞ː
とま	t o̞ m a̠
ゴム	ɡ o̞ m ɯ̟ᵝ
ちゅうしょうめいし	t͡ɕ ɨᵝː ɕ o̞ː m e̞ː ɕ i
きょうかん	kʲ o̞ː k ã̠ ɴ
かくりつ	k a̠ k ɯ̟ᵝ ɾʲ i t͡s ɨᵝ
すみれいろ	s ɨᵝ mʲ i ɾ e̞ i ɾ o̞
とうろく	t o̞ː ɾ o̞ k ɯ̟ᵝ
よみふける	j o̞ mʲ i ɸ ɯ̟ᵝ k e̞ ɾ ɯ̟ᵝ
おじいさん	o̞ ʑ iː s ã̠ ɴ
センター	s ẽ̞ n t a̠ː
あほうどり	a̠ h o̞ː d o̞ ɾʲ i
くろさぎ	k ɯ̟ᵝ ɾ o̞ s a̠ ɡʲ i
ぐこう	ɡ ɯ̟ᵝ k o̞ː
ルーメン	ɾ ɯ̟ᵝː m ẽ̞ ɴ
レモン	ɾ e̞ m õ̞ ɴ
あかるい	a̠ k a̠ ɾ ɯ̟ᵝ i
ばくはつぶつ	b a̠ k ɯ̟̊ᵝ h a̠ t͡s ɨᵝ b ɯ̟ᵝ t͡s ɨᵝ
きびしい	kʲ i bʲ i ɕ i i
のうない	n o̞ː n a̠ i
ただのひょうき	t a̠ d a̠ n o̞ ç o̞ː kʲ i
いっしんいったい	i ɕː ĩ ɰ̃ i t̚ t a̠ i
せつえい	s e̞ t͡s ɨᵝ e̞ː
みみず	mʲ i mʲ i z ɨᵝ
よこぎる	j o̞ k o̞ ɡʲ i ɾ ɯ̟ᵝ
せいじょうき	s e̞ː ʑ o̞ː kʲ i
ミンスク	mʲ ĩ ɰ̃ s ɨᵝ k ɯ̟ᵝ
バケツ	b a̠ k e̞ t͡s ɨᵝ
りはつし	ɾʲ i h a̠ t͡s ɨᵝ ɕ i
やまのぼり	j a̠ m a̠ n o̞ b o̞ ɾʲ i
つうちひょう	t͡s ɨᵝː t͡ɕ i ç o̞ː
しゅてん	ɕ u t e ɴ
じゅもく	d͡ʑ ɨᵝ m o̞ k ɯ̟ᵝ
おいこむ	o̞ i k o̞ m ɯ̟ᵝ
さんぶつげ	s ã̠ m b ɯ̟ᵝ t͡s ɨᵝ ɡ e̞
バッグ	b a̠ ɡ̚ ɡ̊ ɯ̟ᵝ
いなかもの	i n a̠ k a̠ m o̞ n o̞
だらしない	d a̠ ɾ a̠ ɕ i n a̠ i
しらぎ	ɕ i ɾ a̠ ɡʲ i
ととのう	t o̞ t o̞ n o̞ ɯ̟ᵝ
せいきょく	s e̞ː kʲ o̞ k ɯ̟ᵝ
あいかぎ	a̠ i k a̠ ɡʲ i
かんらく	k ã̠ n ɾ a̠ k ɯ̟ᵝ
ほうていしき	h o̞ː t e̞ː ɕ i̥ kʲ i
くげ	k ɯ̟ᵝ ɡ e̞
こうけい	k o̞ː k e̞ː
いわた	i ɰᵝ a̠ t a̠
おんなごころ	õ̞ nː a̠ ɡ o̞ k o̞ ɾ o̞
ぎしょう	ɡʲ i ɕ o̞ː
どぶかわ	d o̞ b ɯ̟ᵝ k a̠ ɰᵝ a̠
こなみ	k o̞ n a̠ mʲ i
たまったもんじゃない	t a̠ m a̠ t̚ t a̠ m õ̞ ɲ̟ d͡ʑ a̠ n a̠ i
いしづか	i ɕ i z ɨᵝ k a̠
うもれる	ɯ̟ᵝ m o̞ ɾ e̞ ɾ ɯ̟ᵝ
ちゅうばち	t͡ɕ ɨᵝː b a̠ t͡ɕ i
こくすい	k o̞ k ɯ̟ᵝ s ɨᵝ i
ぶんしょかん	b ɯ̟̃ᵝ ɰ̃ ɕ o̞ k ã̠ ɴ
みうしなう	mʲ i ɯ̟ᵝ ɕ i n a̠ ɯ̟ᵝ
げんとうき	ɡ ẽ̞ n t o̞ː kʲ i
ナルシシズム	n a̠ ɾ ɯ̟ᵝ ɕ i̥ ɕ i z ɨᵝ m ɯ̟ᵝ
デフォルメ	d e̞ ɸ o̞ ɾ ɯ̟ᵝ m e̞
ぶんぼう	b ɯ̟̃ᵝ m b o̞ː
しんちゃ	ɕ ĩ ɲ̟ t͡ɕ a̠
サポート	s a̠ p o̞ː t o̞
ファシスト	ɸ a̠ ɕ i s ɨᵝ t o̞̊
あくどい	a̠ k ɯ̟ᵝ d o̞ i
じょうげてん	d ʑ oː ɡ e t e ɴ
さくらいろ	s a̠ k ɯ̟ᵝ ɾ a̠ i ɾ o̞
あきなう	a̠ kʲ i n a̠ ɯ̟ᵝ
かいせきりきがく	k a̠ i s e̞ kʲ i ɾʲ i kʲ i ɡ a̠ k ɯ̟ᵝ
おの	o̞ n o̞
たち	t a̠ t͡ɕ i
はこにわ	h a̠ k o̞ ɲ̟ i ɰᵝ a̠
きんらん	kʲ ĩ n ɾ ã̠ ɴ
やすげっきゅう	j a̠ s ɨᵝ ɡ e̞ k̚ʲ kʲ ɨᵝː
りきがくけい	ɾʲ i kʲ i ɡ a̠ k ɯ̟ᵝ k e̞ː
いうまでもない	i ɯ̟ᵝ m a̠ d e̞ m o̞ n a̠ i
カタルシス	k a̠ t a̠ ɾ ɯ̟ᵝ ɕ i s ɨᵝ
ぶっしつ	b ɯ̟ᵝ ɕː i̥ t͡s ɨᵝ
おそ	o̞ s o̞
ねがえり	n e̞ ɡ a̠ e̞ ɾʲ i
ちなみに	t͡ɕ i n a̠ mʲ i ɲ̟ i
もし	m o̞ ɕ i
だいそうげん	d a̠ i s o̞ː ɡ ẽ̞ ɴ
デビュー	d e̞ bʲ ɨᵝː
げきむ	ɡ e̞ kʲ i m ɯ̟ᵝ
たまゆら	t a̠ m a̠ j ɯ̟ᵝ ɾ a̠
ざこ	d͡z a̠ k o̞
かくぎ	k a̠ k ɯ̟ᵝ ɡʲ i
すいさんき	s ɨᵝ i s ã̠ ŋʲ kʲ i
ディーラー	dʲ iː ɾ a̠ː
てんぺんちい	t ẽ̞ m p ẽ̞ ɲ̟ t͡ɕ iː
ぼはん	b o̞ h ã̠ ɴ
とりしらべる	t o̞ ɾʲ i ɕ i ɾ a̠ b e̞ ɾ ɯ̟ᵝ
しゃみせん	ɕ a̠ mʲ i s ẽ̞ ɴ
ラーユ	ɾ a̠ː j ɯ̟ᵝ
てっせん	t e̞ sː ẽ̞ ɴ
ラムダ	ɾ a̠ m ɯ̟ᵝ d a̠
じったいきょう	d͡ʑ i t̚ t a̠ i kʲ o̞ː
はいかつりょう	h a̠ i k a̠ t͡s ɨᵝ ɾʲ o̞ː
みまもる	mʲ i m a̠ m o̞ ɾ ɯ̟ᵝ
ボイスパーカッション	b o̞ i s ɨᵝ p a̠ː k a̠ ɕː õ̞ ɴ
ハイソックス	h a̠ i s o̞ k̚ k ɯ̟̊ᵝ s ɨᵝ
ろうがん	ɾ o̞ː ɡ ã̠ ɴ
キャド	kʲ a̠ d o̞
あそびごころ	a̠ s o̞ bʲ i ɡ o̞ k o̞ ɾ o̞
かいたくしゃ	k a̠ i t a̠ k ɯ̟ᵝ ɕ a̠
みまい	mʲ i m a̠ i
がくじゅつしょ	ɡ a̠ k ɯ̟ᵝ ʑ ɨᵝ t͡s ɨᵝ ɕ o̞
ハスカップ	h a̠ s ɨ̥ᵝ k a̠ p̚ p ɯ̟ᵝ
こわれる	k o̞ ɰᵝ a̠ ɾ e̞ ɾ ɯ̟ᵝ
しわがれる	ɕ i ɰᵝ a̠ ɡ a̠ ɾ e̞ ɾ ɯ̟ᵝ
こくあん	k o̞ k ɯᵝ ã̠ ɴ
にっかんてき	ɲ̟ i k̚ k ã̠ n t e̞ kʲ i
あいこうか	a̠ i k o̞ː k a̠
べいか	b e̞ː k a̠
しんせい	ɕ ĩ ɰ̃ s e̞ː
ひなびる	ç i n a̠ bʲ i ɾ ɯ̟ᵝ
シンノリン	ɕ ĩ nː o̞ ɾʲ ĩ ɴ
しいれ	ɕ iː ɾ e̞
こがす	k o̞ ɡ a̠ s ɨᵝ
とざす	t o̞ z a̠ s ɨᵝ
たけゆき	t a̠ k e̞ j ɯ̟ᵝ kʲ i
そうはつき	s o̞ː h a̠ t͡s ɨᵝ kʲ i
へいおん	h e̞ː õ̞ ɴ
いりぐち	i ɾʲ i ɡ ɯ̟ᵝ t͡ɕ i
じょはきゅう	d͡ʑ o̞ h a̠ kʲ ɨᵝː
ラサ	ɾ a̠ s a̠
ごうかん	ɡ o̞ː k ã̠ ɴ
スポーツバー	s ɨᵝ p o̞ː t͡s ɨᵝ b a̠ː
おんみつ	õ̞ ɴ m i t͡s ɯᵝ
もっともらしい	m o̞ t̚ t o̞ m o̞ ɾ a̠ ɕ iː
もぐら	m o̞ ɡ ɯ̟ᵝ ɾ a̠
スポーツクラブ	s ɨᵝ p o̞ː t͡s ɨᵝ k ɯ̟ᵝ ɾ a̠ b ɯ̟ᵝ
はぶく	h a̠ b ɯ̟ᵝ k ɯ̟ᵝ
こんにち	k õ̞ ɲ̟ ɲ̟ i t͡ɕ i
シーラカンス	ɕ iː ɾ a̠ k ã̠ ɰ̃ s ɨᵝ
じゅうじゅつ	d͡ʑ ɨᵝː ʑ ɨᵝ t͡s ɨᵝ
つわる	t͡s ɨᵝ ɰᵝ a̠ ɾ ɯ̟ᵝ
かんぶ	k ã̠ m b ɯ̟ᵝ
じんがい	d͡ʑ ĩ ŋ ɡ a̠ i
やしき	j a̠ ɕ i̥ kʲ i
ぞうご	d͡z o̞ː ɡ o̞
べんがら	b ẽ̞ ŋ ɡ a̠ ɾ a̠
ゆうせい	j ɯ̟ᵝː s e̞ː
ぎむづける	ɡʲ i m ɯ̟ᵝ z ɨᵝ k e̞ ɾ ɯ̟ᵝ
ふんしゃ	ɸ ɯ̟̃ᵝ ɰ̃ ɕ a̠
トイレットペーパー	t o̞ i ɾ e̞ t̚ t o̞ p e̞ː p a̠ː
どぶいたせんきょ	d o̞ b ɯ̟ᵝ i t a̠ s ẽ̞ ŋʲ kʲ o̞
がくれき	ɡ a̠ k ɯ̟ᵝ ɾ e̞ kʲ i
かがり	k a̠ ɡ a̠ ɾʲ i
あかぼし	a̠ k a̠ b o̞ ɕ i
ほくへき	h o̞ k ɯ̟ᵝ h e̞ kʲ i
ユーザーインターフェース	j ɯ̟ᵝː z a̠ː ĩ n t a̠ː ɸ e̞ː s ɨᵝ
ぶどうばたけ	b ɯ̟ᵝ d o̞ː b a̠ t a̠ k e̞
バクー	b a̠ k ɯ̟ᵝː
ひなもり	ç i n a̠ m o̞ ɾʲ i
さぎ	s a̠ ɡʲ i
タイムアップ	t a̠ i m ɯ̟ᵝ a̠ p̚ p ɯ̟ᵝ
ぜんぺん	d͡z ẽ̞ m p ẽ̞ ɴ
しんにち	ɕ ĩ ɲ̟ ɲ̟ i t͡ɕ i
こくりゅうこう	k o̞ k ɯ̟ᵝ ɾʲ ɨᵝː k o̞ː
ひもの	ç i m o̞ n o̞
せんまん	s ẽ̞ mː ã̠ ɴ
かたづく	k a̠ t a̠ z ɨᵝ k ɯ̟ᵝ
しょうぼうし	ɕ o̞ː b o̞ː ɕ i
アルミナ	a̠ ɾ ɯ̟ᵝ mʲ i n a̠
しきゅう	ɕ i kʲ ɨᵝː
さだいじん	s a̠ d a̠ i ʑ ĩ ɴ
おとこゆ	o̞ t o̞ k o̞ j ɯ̟ᵝ
どぶいた	d o̞ b ɯ̟ᵝ i t a̠
なおれ	n a̠ o̞ ɾ e̞
わぬ	ɰᵝ a̠ n ɯ̟ᵝ
オングストローム	õ̞ ŋ ɡ ɯ̟ᵝ s ɨ̥ᵝ t o̞ ɾ o̞ː m ɯ̟ᵝ
めいぼ	m e̞ː b o̞
しんしん	ɕ ĩ ɰ̃ ɕ ĩ ɴ
がいでん	ɡ a̠ i d ẽ̞ ɴ
はんぎゃくしゃ	h ã̠ ŋʲ ɡʲ a̠ k ɯ̟ᵝ ɕ a̠
オゾンホール	o̞ z õ̞ ɰ̃ h o̞ː ɾ ɯ̟ᵝ
こつばん	k o̞ t͡s ɨᵝ b ã̠ ɴ
やご	j a̠ ɡ o̞
ちけい	t͡ɕ i k e̞ː
チョコレート	t͡ɕ o̞ k o̞ ɾ e̞ː t o̞
しんみつ	ɕ ĩ mʲː i t͡s ɨᵝ
じょうへき	d͡ʑ o̞ː h e̞ kʲ i
えんとうし	ẽ̞ n t o̞ː ɕ i
ハーブ	h a̠ː b ɯ̟ᵝ
うりだす	ɯ̟ᵝ ɾʲ i d a̠ s ɨᵝ
じっか	d͡ʑ i k̚ k a̠
むやみやたら	m ɯ̟ᵝ j a̠ mʲ i j a̠ t a̠ ɾ a̠
らんしょ	ɾ ã̠ ɰ̃ ɕ o̞
アリバイ	a̠ ɾʲ i b a̠ i
たからがい	t a̠ k a̠ ɾ a̠ ɡ a̠ i
だついはなふだ	d a̠ t͡s ɨᵝ i h a̠ n a̠ ɸ ɯ̟ᵝ d a̠
プロトアクチニウム	p ɯ̟ᵝ ɾ o̞ t o̞ a̠ k ɯ̟̊ᵝ t͡ɕ i ɲ̟ i ɯ̟ᵝ m ɯ̟ᵝ
すいりょく	s ɨᵝ i ɾʲ o̞ k ɯ̟ᵝ
みんせい	mʲ ĩ ɰ̃ s e̞ː
くずし	k ɯ̟ᵝ z ɨᵝ ɕ i
あんこ	ã̠ ŋ k o̞
アメリシウム	a̠ m e̞ ɾʲ i ɕ i ɯ̟ᵝ m ɯ̟ᵝ
とうろん	t o̞ː ɾ õ̞ ɴ
せんじょうのくに	s ẽ̞ ɴ d͡ʑʲ o̞ː n o̞ k ɯᵝ n i
インク	ĩ ŋ k ɯ̟ᵝ
ここう	k o̞ k o̞ː
けんさ	k ẽ̞ ɰ̃ s a̠
あかつめくさ	a̠ k a̠ t͡s ɨᵝ m e̞ k ɯ̟̊ᵝ s a̠
ガイア	ɡ a̠ i a̠
くじける	k ɯ̟ᵝ ʑ i k e̞ ɾ ɯ̟ᵝ
かばんご	k a̠ b ã̠ ŋ ɡ o̞
ほっきょくぐま	h o̞ k̚ʲ kʲ o̞ k ɯ̟ᵝ ɡ ɯ̟ᵝ m a̠
モスコー	m o̞ s ɨ̥ᵝ k o̞ː
ふしん	ɸ ɯ̟ᵝ ɕ ĩ ɴ
あおぞら	a̠ o̞ z o̞ ɾ a̠
しまぐに	ɕ i m a̠ ɡ ɯ̟ᵝ ɲ̟ i
ふそうおう	ɸ ɯ̟ᵝ s o̞ː o̞ː
おそれいる	o̞ s o̞ ɾ e̞ i ɾ ɯ̟ᵝ
みまいきん	mʲ i m a̠ i kʲ ĩ ɴ
とくぎ	t o̞ k ɯ̟ᵝ ɡʲ i
はずむ	h a̠ z ɨᵝ m ɯ̟ᵝ
ししょう	ɕ i ɕ o̞ː
セパタクロー	s e̞ p a̠ t a̠ k ɯ̟ᵝ ɾ o̞ː
しょうがい	ɕ o̞ː ɡ a̠ i
あおた	a̠ o̞ t a̠
しま	ɕ i m a̠
まんいん	m ã̠ ɰ̃ ĩ ɴ
へきぎょく	h e̞ kʲ i ɡʲ o̞ k ɯ̟ᵝ
りきむ	ɾʲ i kʲ i m ɯ̟ᵝ
とりとめ	t o̞ ɾʲ i t o̞ m e̞
かどまつ	k a̠ d o̞ m a̠ t͡s ɨᵝ
スペイン	s ɨ̥ᵝ p e̞ ĩ ɴ
ふくせん	ɸ ɯ̟ᵝ k ɯ̟ᵝ s ẽ̞ ɴ
ようかい	j o̞ː k a̠ i
しゅうさいぼう	ɕ ɨᵝː s a̠ i b o̞ː
あるある	a̠ ɾ ɯ̟ᵝ a̠ ɾ ɯ̟ᵝ
きょたんやく	kʲ o̞ t ã̠ ɰ̃ j a̠ k ɯ̟ᵝ
しょとう	ɕ o̞ t o̞ː
ハツ	h a̠ t͡s ɨᵝ
れいぎょ	ɾ e̞ː ɡʲ o̞
とんま	t õ̞ mː a̠
かさんかすいそ	k a̠ s ã̠ ŋ k a̠ s ɨᵝ i s o̞
じびょう	d͡ʑ i bʲ o̞ː
いっしょう	i ɕː o̞ː
かんようよみ	k ã̠ ɰ̃ j o̞ː j o̞ mʲ i
にあう	ɲ̟ i a̠ ɯ̟ᵝ
ゆうざい	j ɯ̟ᵝː z a̠ i
なんじゅう	n ã̠ ɲ̟ d͡ʑ ɨᵝː
ぎょうじ	ɡʲ o̞ː ʑ i
わらにんぎょう	ɰᵝ a̠ ɾ a̠ ɲ̟ ĩ ŋʲ ɡʲ o̞ː
さわぎ	s a̠ ɰᵝ a̠ ɡʲ i
みんちょうたい	mʲ ĩ ɲ̟ t͡ɕ o̞ː t a̠ i
はくしつ	h a̠ k ɯ̟̊ᵝ ɕ i t͡s ɨᵝ
バクテリア	b a̠ k ɯ̟̊ᵝ t e̞ ɾʲ i a̠
けど	k e̞ d o̞
さいき	s a̠ i kʲ i
マラソン	m a̠ ɾ a̠ s õ̞ ɴ
ぎじょうご	ɡʲ i ʑ o̞ː ɡ o̞
いりょう	i ɾʲ o̞ː
さんなん	s ã̠ nː ã̠ ɴ
テレビ	t e̞ ɾ e̞ bʲ i
ろんばく	ɾ õ̞ m b a̠ k ɯ̟ᵝ
マイペース	m a̠ i p e̞ː s ɨᵝ
じゅうさん	d͡ʑ ɨᵝː s ã̠ ɴ
スヌード	s ɨᵝ n ɯ̟ᵝː d o̞
しゅにん	ɕ ɨᵝ ɲ̟ ĩ ɴ
もさく	m o̞ s a̠ k ɯ̟ᵝ
じこけんお	d͡ʑ i k o̞ k ẽ̞ ɰ̃ o̞
じゃんけん	d͡ʑ ã̠ ŋ k ẽ̞ ɴ
メンマ	m ẽ̞ mː a̠
れいがい	ɾ e̞ː ɡ a̠ i
ゆば	j ɯ̟ᵝ b a̠
いぬごや	i n ɯ̟ᵝ ɡ o̞ j a̠
スカラー	s ɨ̥ᵝ k a̠ ɾ a̠ː
むかしむかし	m ɯ̟ᵝ k a̠ ɕ i m ɯ̟ᵝ k a̠ ɕ i
ぶごう	b ɯ̟ᵝ ɡ o̞ː
ツンドラ	t͡s ɨ̃ᵝ n d o̞ ɾ a̠
くろれきし	k ɯ̟ᵝ ɾ o̞ ɾ e̞ kʲ i ɕ i
フィットネス	ɸʲ i t̚ t o̞ n e̞ s ɨᵝ
せきせい	s e̞ kʲ i s e̞ː
たかふみ	t a̠ k a̠ ɸ ɯ̟ᵝ mʲ i
きょうしょう	kʲ o̞ː ɕ o̞ː
べいしゅう	b e̞ː ɕ ɨᵝː
ハンググライダー	h ã̠ ŋ ɡ ɯ̟ᵝ ɡ ɯ̟ᵝ ɾ a̠ i d a̠ː
なまえ	n a̠ m a̠ e̞
おなががも	o̞ n a̠ ɡ a̠ ɡ a̠ m o̞
とらいじん	t o̞ ɾ a̠ i ʑ ĩ ɴ
ホワイトリスト	h o̞ ɰᵝ a̠ i t o̞ ɾʲ i s ɨᵝ t o̞
サントメ	s ã̠ n t o̞ m e̞
げんき	ɡ ẽ̞ ŋʲ kʲ i
しんいち	ɕ ĩ ɰ̃ i t͡ɕ i
ジャンパー	d͡ʑ ã̠ m p a̠ː
きんしん	kʲ ĩ ɰ̃ ɕ ĩ ɴ
チェス	t͡ɕ e̞ s ɨᵝ
さいあく	s a̠ i a̠ k ɯ̟ᵝ
テステス	t e̞ s ɨᵝ t e̞ s ɨᵝ
ひいらぎ	ç iː ɾ a̠ ɡʲ i
めいうん	m e̞ː ɯ̟̃ᵝ ɴ
がっしゅうこく	ɡ a̠ ɕː ɯ̟ᵝː k o̞ k ɯ̟ᵝ
ロン	ɾ õ̞ ɴ
あけくれる	a̠ k e̞ k ɯ̟ᵝ ɾ e̞ ɾ ɯ̟ᵝ
おしゃか	o̞ ɕ a̠ k a̠
なんばんづけ	n ã̠ m b ã̠ n d͡z ɨᵝ k e̞
ニャース	ɲ̟ a̠ː s ɨᵝ
そううけ	s o̞ː ɯ̟ᵝ k e̞
がくしょく	ɡ a̠ k ɯ̟ᵝ ɕ o̞ k ɯ̟ᵝ
だんちづま	d ã̠ ɲ̟ t͡ɕ i z ɨᵝ m a̠
トラブルシュータ	t o̞ ɾ a̠ b ɯ̟ᵝ ɾ ɯ̟ᵝ ɕ ɨᵝː t a̠
じどうしゃ	d͡ʑ i d o̞ː ɕ a̠
