らち	ɾ a t͡ɕ i
ラーユ	ɾ a j ɯ
てっせん	t e s ẽ ɴ
ラムダ	ɾ a m ɯ d a
じったいきょう	d͡ʑ i t̚ t a i kʲ o
はいかつりょう	h a i k a t͡s ɨ ɾʲ o
みまもる	mʲ i m a m o ɾ ɯ
ボイスパーカッション	b o i s ɨ p a k a ɕ õ ɴ
ハイソックス	h a i s o k̚ k ɯ s ɨ
ろうがん	ɾ o ɡ ã ɴ
キャド	kʲ a d o
あそびごころ	a s o bʲ i ɡ o k o ɾ o
かいたくしゃ	k a i t a k ɯ ɕ a
みまい	mʲ i m a i
がくじゅつしょ	ɡ a k ɯ ʑ ɨ t͡s ɨ ɕ o
ハスカップ	h a s ɨ k a p̚ p ɯ
こわれる	k o ɰ a ɾ e ɾ ɯ
しわがれる	ɕ i ɰ a ɡ a ɾ e ɾ ɯ
こくあん	k o k ɯ ã ɴ
にっかんてき	ɲ i k̚ k ã n t e kʲ i
あいこうか	a i k o k a
べいか	b e k a
しんせい	ɕ ĩ ɰ s e
ひなびる	ç i n a bʲ i ɾ ɯ
シンノリン	ɕ ĩ n o ɾʲ ĩ ɴ
しいれ	ɕ i ɾ e
こがす	k o ɡ a s ɨ
とざす	t o z a s ɨ
たけゆき	t a k e j ɯ kʲ i
そうはつき	s o h a t͡s ɨ kʲ i
へいおん	h e õ ɴ
いりぐち	i ɾʲ i ɡ ɯ t͡ɕ i
じょはきゅう	d͡ʑ o h a kʲ ɨ
ラサ	ɾ a s a
ごうかん	ɡ o k ã ɴ
スポーツバー	s ɨ p o t͡s ɨ b a
おんみつ	õ ɴ m i t͡s ɯ
もっともらしい	m o t̚ t o m o ɾ a ɕ i
もぐら	m o ɡ ɯ ɾ a
スポーツクラブ	s ɨ p o t͡s ɨ k ɯ ɾ a b ɯ
はぶく	h a b ɯ k ɯ
こんにち	k õ ɲ ɲ i t͡ɕ i
シーラカンス	ɕ i ɾ a k ã ɰ s ɨ
じゅうじゅつ	d͡ʑ ɨ ʑ ɨ t͡s ɨ
つわる	t͡s ɨ ɰ a ɾ ɯ
かんぶ	k ã m b ɯ
じんがい	d͡ʑ ĩ ŋ ɡ a i
やしき	j a ɕ i kʲ i
ぞうご	d͡z o ɡ o
べんがら	b ẽ ŋ ɡ a ɾ a
ゆうせい	j ɯ s e
ぎむづける	ɡʲ i m ɯ z ɨ k e ɾ ɯ
ふんしゃ	ɸ ɯ ɰ ɕ a
トイレットペーパー	t o i ɾ e t̚ t o p e p a
どぶいたせんきょ	d o b ɯ i t a s ẽ ŋʲ kʲ o
がくれき	ɡ a k ɯ ɾ e kʲ i
かがり	k a ɡ a ɾʲ i
あかぼし	a k a b o ɕ i
ほくへき	h o k ɯ h e kʲ i
ユーザーインターフェース	j ɯ z a ĩ n t a ɸ e s ɨ
ぶどうばたけ	b ɯ d o b a t a k e
バクー	b a k ɯ
ひなもり	ç i n a m o ɾʲ i
さぎ	s a ɡʲ i
タイムアップ	t a i m ɯ a p̚ p ɯ
ぜんぺん	d͡z ẽ m p ẽ ɴ
しんにち	ɕ ĩ ɲ ɲ i t͡ɕ i
こくりゅうこう	k o k ɯ ɾʲ ɨ k o
ひもの	ç i m o n o
せんまん	s ẽ m ã ɴ
かたづく	k a t a z ɨ k ɯ
しょうぼうし	ɕ o b o ɕ i
アルミナ	a ɾ ɯ mʲ i n a
しきゅう	ɕ i kʲ ɨ
さだいじん	s a d a i ʑ ĩ ɴ
おとこゆ	o t o k o j ɯ
どぶいた	d o b ɯ i t a
なおれ	n a o ɾ e
わぬ	ɰ a n ɯ
オングストローム	õ ŋ ɡ ɯ s ɨ t o ɾ o m ɯ
めいぼ	m e b o
しんしん	ɕ ĩ ɰ ɕ ĩ ɴ
がいでん	ɡ a i d ẽ ɴ
はんぎゃくしゃ	h ã ŋʲ ɡʲ a k ɯ ɕ a
オゾンホール	o z õ ɰ h o ɾ ɯ
こつばん	k o t͡s ɨ b ã ɴ
やご	j a ɡ o
ちけい	t͡ɕ i k e
チョコレート	t͡ɕ o k o ɾ e t o
しんみつ	ɕ ĩ mʲ i t͡s ɨ
じょうへき	d͡ʑ o h e kʲ i
えんとうし	ẽ n t o ɕ i
ハーブ	h a b ɯ
うりだす	ɯ ɾʲ i d a s ɨ
じっか	d͡ʑ i k̚ k a
むやみやたら	m ɯ j a mʲ i j a t a ɾ a
らんしょ	ɾ ã ɰ ɕ o
アリバイ	a ɾʲ i b a i
たからがい	t a k a ɾ a ɡ a i
だついはなふだ	d a t͡s ɨ i h a n a ɸ ɯ d a
プロトアクチニウム	p ɯ ɾ o t o a k ɯ t͡ɕ i ɲ i ɯ m ɯ
すいりょく	s ɨ i ɾʲ o k ɯ
みんせい	mʲ ĩ ɰ s e
くずし	k ɯ z ɨ ɕ i
あんこ	ã ŋ k o
アメリシウム	a m e ɾʲ i ɕ i ɯ m ɯ
とうろん	t o ɾ õ ɴ
せんじょうのくに	s ẽ ɴ d͡ʑʲ o n o k ɯ n i
インク	ĩ ŋ k ɯ
ここう	k o k o
けんさ	k ẽ ɰ s a
あかつめくさ	a k a t͡s ɨ m e k ɯ s a
ガイア	ɡ a i a
くじける	k ɯ ʑ i k e ɾ ɯ
かばんご	k a b ã ŋ ɡ o
ほっきょくぐま	h o k̚ʲ kʲ o k ɯ ɡ ɯ m a
モスコー	m o s ɨ k o
ふしん	ɸ ɯ ɕ ĩ ɴ
あおぞら	a o z o ɾ a
しまぐに	ɕ i m a ɡ ɯ ɲ i
ふそうおう	ɸ ɯ s o o
おそれいる	o s o ɾ e i ɾ ɯ
みまいきん	mʲ i m a i kʲ ĩ ɴ
とくぎ	t o k ɯ ɡʲ i
はずむ	h a z ɨ m ɯ
ししょう	ɕ i ɕ o
セパタクロー	s e p a t a k ɯ ɾ o
しょうがい	ɕ o ɡ a i
あおた	a o t a
しま	ɕ i m a
まんいん	m ã ɰ ĩ ɴ
へきぎょく	h e kʲ i ɡʲ o k ɯ
りきむ	ɾʲ i kʲ i m ɯ
とりとめ	t o ɾʲ i t o m e
かどまつ	k a d o m a t͡s ɨ
スペイン	s ɨ p e ĩ ɴ
ふくせん	ɸ ɯ k ɯ s ẽ ɴ
ようかい	j o k a i
しゅうさいぼう	ɕ ɨ s a i b o
あるある	a ɾ ɯ a ɾ ɯ
きょたんやく	kʲ o t ã ɰ j a k ɯ
しょとう	ɕ o t o
ハツ	h a t͡s ɨ
れいぎょ	ɾ e ɡʲ o
とんま	t õ m a
かさんかすいそ	k a s ã ŋ k a s ɨ i s o
じびょう	d͡ʑ i bʲ o
いっしょう	i ɕ o
かんようよみ	k ã ɰ j o j o mʲ i
にあう	ɲ i a ɯ
ゆうざい	j ɯ z a i
なんじゅう	n ã ɲ d͡ʑ ɨ
ぎょうじ	ɡʲ o ʑ i
わらにんぎょう	ɰ a ɾ a ɲ ĩ ŋʲ ɡʲ o
さわぎ	s a ɰ a ɡʲ i
みんちょうたい	mʲ ĩ ɲ t͡ɕ o t a i
はくしつ	h a k ɯ ɕ i t͡s ɨ
バクテリア	b a k ɯ t e ɾʲ i a
けど	k e d o
さいき	s a i kʲ i
マラソン	m a ɾ a s õ ɴ
ぎじょうご	ɡʲ i ʑ o ɡ o
いりょう	i ɾʲ o
さんなん	s ã n ã ɴ
テレビ	t e ɾ e bʲ i
ろんばく	ɾ õ m b a k ɯ
マイペース	m a i p e s ɨ
じゅうさん	d͡ʑ ɨ s ã ɴ
スヌード	s ɨ n ɯ d o
しゅにん	ɕ ɨ ɲ ĩ ɴ
もさく	m o s a k ɯ
じこけんお	d͡ʑ i k o k ẽ ɰ o
じゃんけん	d͡ʑ ã ŋ k ẽ ɴ
メンマ	m ẽ m a
れいがい	ɾ e ɡ a i
ゆば	j ɯ b a
いぬごや	i n ɯ ɡ o j a
スカラー	s ɨ k a ɾ a
むかしむかし	m ɯ k a ɕ i m ɯ k a ɕ i
ぶごう	b ɯ ɡ o
ツンドラ	t͡s ɨ n d o ɾ a
くろれきし	k ɯ ɾ o ɾ e kʲ i ɕ i
フィットネス	ɸʲ i t̚ t o n e s ɨ
せきせい	s e kʲ i s e
たかふみ	t a k a ɸ ɯ mʲ i
きょうしょう	kʲ o ɕ o
べいしゅう	b e ɕ ɨ
ハンググライダー	h ã ŋ ɡ ɯ ɡ ɯ ɾ a i d a
なまえ	n a m a e
おなががも	o n a ɡ a ɡ a m o
とらいじん	t o ɾ a i ʑ ĩ ɴ
ホワイトリスト	h o ɰ a i t o ɾʲ i s ɨ t o
サントメ	s ã n t o m e
げんき	ɡ ẽ ŋʲ kʲ i
しんいち	ɕ ĩ ɰ i t͡ɕ i
ジャンパー	d͡ʑ ã m p a
きんしん	kʲ ĩ ɰ ɕ ĩ ɴ
チェス	t͡ɕ e s ɨ
さいあく	s a i a k ɯ
テステス	t e s ɨ t e s ɨ
ひいらぎ	ç i ɾ a ɡʲ i
めいうん	m e ɯ ɴ
がっしゅうこく	ɡ a ɕ ɯ k o k ɯ
ロン	ɾ õ ɴ
あけくれる	a k e k ɯ ɾ e ɾ ɯ
おしゃか	o ɕ a k a
なんばんづけ	n ã m b ã n d͡z ɨ k e
ニャース	ɲ a s ɨ
そううけ	s o ɯ k e
がくしょく	ɡ a k ɯ ɕ o k ɯ
だんちづま	d ã ɲ t͡ɕ i z ɨ m a
トラブルシュータ	t o ɾ a b ɯ ɾ ɯ ɕ ɨ t a
じどうしゃ	d͡ʑ i d o ɕ a
あつか	a t͡s ɨ k a
マダガスカル	m a d a ɡ a s ɨ k a ɾ ɯ
きょ	kʲ o
たちばな	t a t͡ɕ i b a n a
そくとう	s o k ɯ t o
デカン	d e k ã ɴ
だいきょう	d a i kʲ o
つぎざま	t͡s ɨ ɡʲ i z a m a
ジェ	d͡ʑ e
フロッピー	ɸ ɯ ɾ o p̚ʲ pʲ i
ぼける	b o k e ɾ ɯ
そくどく	s o k ɯ d o k ɯ
リストラ	ɾʲ i s ɨ t o ɾ a
かみひこうき	k a mʲ i ç i k o kʲ i
コンプレックス	k õ m p ɯ ɾ e k̚ k ɯ s ɨ
とがる	t o ɡ a ɾ ɯ
はじめて	h a ʑ i m e t e
とうろんかい	t o ɾ õ ŋ k a i
ネーム	n e m ɯ
アルコール	a ɾ ɯ k o ɾ ɯ
ピラン	pʲ i ɾ ã ɴ
アメリカンドッグ	a m e ɾʲ i k ã n d o ɡ̚ ɡ ɯ
ちょくりゅう	t͡ɕ o k ɯ ɾʲ ɨ
ちいき	t͡ɕ i kʲ i
ばいどく	b a i d o k ɯ
かんか	k ã ŋ k a
ピッチ	pʲ i t̚ t͡ɕ i
いんおうごぞく	ĩ ɰ o ɡ o z o k ɯ
はちかくけい	h a k̚ k a k ɯ k e
プロジェクター	p ɯ ɾ o ʑ e k ɯ t a
たんよう	t ã ɰ j o
ライトノベル	ɾ a i t o n o b e ɾ ɯ
そだてる	s o d a t e ɾ ɯ
せきたんき	s e kʲ i t ã ŋʲ kʲ i
さむい	s a m ɯ i
あこがれ	a k o ɡ a ɾ e
けんこ	k ẽ ŋ k o
がいじゅう	ɡ a i ʑ ɨ
ほういじしん	h o i ʑ i ɕ ĩ ɴ
ちょくご	t͡ɕ o k ɯ ɡ o
おりる	o ɾʲ i ɾ ɯ
らぎょうへんかくかつよう	ɾ a ɡʲ o
しょうねんば	ɕ o n ẽ m b a
ますらお	m a s ɨ ɾ a o
たんしょう	t ã ɰ ɕ o
あげもの	a ɡ e m o n o
だけん	d a k ẽ ɴ
ふくしゅうしゃ	ɸ ɯ k ɯ ɕʲ ɯ ɕʲ a
ねっから	n e k̚ k a ɾ a
ちし	t͡ɕ i ɕ i
きもの	kʲ i m o n o
いんぜい	ĩ n d͡z e
にごる	ɲ i ɡ o ɾ ɯ
おうしゅうれんごう	o ɕ ɨ ɾ ẽ ŋ ɡ o
ホーム	h o m ɯ
バター	b a t a
くしょう	k ɯ ɕ o
せっせん	s e s ẽ ɴ
えききょう	e kʲ i kʲ o
まいり	m a i ɾʲ i
きょうせいしゅうようじょ	kʲ o s e ɕ ɨ j o ʑ o
ブーメラン	b ɯ m e ɾ ã ɴ
かつおのえぼし	k a t͡s ɨ o n o e b o ɕ i
ユー	j ɯ
ねつえん	n e t͡s ɨ ẽ ɴ
メタン	m e t ã ɴ
ブルンジ	b ɯ ɾ ɯ ɲ d͡ʑ i
げつがく	ɡ e t͡s ɨ ɡ a k ɯ
フィットネスクラブ	ɸʲ i t̚ t o n e s ɨ k ɯ ɾ a b ɯ
まきゅう	m a kʲ ɨ
にんじゃ	ɲ ĩ ɲ d͡ʑ a
しょうゆ	ɕ o j ɯ
トリコット	t o ɾʲ i k o t̚ t o
ロ	ɾ o
はば	h a b a
コンビニエンスストア	k õ m bʲ i ɲ i ẽ ɰ s ɨ s ɨ t o a
みやぎ	mʲ i j a ɡʲ i
ぶどうまく	b ɯ d o m a k ɯ
じょうぎざ	d͡ʑ o ɡʲ i z a
あいしょうか	a i ɕ o k a
いちぶ	i t͡ɕ i b ɯ
しじつ	ɕ i ʑ i t͡s ɨ
しょうらん	ɕ o ɾ ã ɴ
すくう	s ɨ k ɯ
おてあげ	o t e a ɡ e
いちい	i t͡ɕ i i
やむ	j a m ɯ
ポリッジ	p o ɾʲ i d̚ d͡ʑ i
すきなだけ	s ɨ kʲ i n a d a k e
すいりょうけい	s ɨ i ɾʲ o k e
アフタヌーンティー	a ɸ ɯ t a n ɯ n tʲ i
おまつり	o m a t͡s ɨ ɾʲ i
やしがに	j a ɕ i ɡ a ɲ i
ざいにち	d͡z a i ɲ i t͡ɕ i
おたく	o t a k ɯ
ビラ	bʲ i ɾ a
そううつ	s o ɯ t͡s ɨ
とふざい	t o ɸ ɯ z a i
だいほんえいはっぴょう	d a i h õ ɰ e h a p̚ʲ pʲ o
やくぶつらんよう	j a k ɯ b ɯ t͡s ɨ ɾ ã ɰ j o
ゆうれいぐも	j ɯ ɾ e ɡ ɯ m o
カルト	k a ɾ ɯ t o
おもたい	o m o t a i
こうきょう	k o kʲ o
きちじ	kʲ i t͡ɕ i ʑ i
ヒンドゥー	ç ĩ n d ɯ
でんぽう	d ẽ m p o
こうしゃ	k o ɕ a
えど	e d o
にほんおおかみ	ɲ i h õ ɰ o k a mʲ i
えんきせいさんかぶつ	ẽ ŋʲ kʲ i s e s ã ŋ k a b ɯ t͡s ɨ
らいうん	ɾ a i ɯ ɴ
ぴえん	pʲ i ẽ ɴ
りくぐん	ɾʲ i k ɯ ɡ ɯ ɴ
こうきしん	k o kʲ i ɕ ĩ ɴ
ストレートフラッシュ	s ɨ t o ɾ e t o ɸ ɯ ɾ a ɕ ɯ
きゅうそう	kʲ ɨ s o
おおごま	o ɡ o m a
かがやき	k a ɡ a j a kʲ i
にな	ɲ i n a
もくせい	m o k ɯ s e
ようしょく	j o ɕ o k ɯ
こうちけん	k o t͡ɕ i k ẽ ɴ
ジャッカル	d͡ʑ a k̚ k a ɾ ɯ
こんごうづえ	k õ ŋ ɡ o z ɨ e
あれ	a ɾ e
かたかな	k a t a k a n a
りつ	ɾʲ i t͡s ɨ
なみだぐむ	n a mʲ i d a ɡ ɯ m ɯ
キウイ	kʲ i ɯ i
がうん	ɡ a ɯ ɴ
ゆうこう	j ɯ k o
ごし	ɡ o ɕ i
イスタンブール	i s ɨ t ã m b ɯ ɾ ɯ
むねあて	m ɯ n e a t e
がんえん	ɡ ã ɰ ẽ ɴ
おんなのこ	õ n a n o k o
さいた	s a i t a
らしんばん	ɾ a ɕ ĩ m b ã ɴ
テロ	t e ɾ o
うれっこ	ɯ ɾ e k̚ k o
せいきょ	s e kʲ o
しちじゅう	ɕ i t͡ɕ i ʑ ɨ
ほんぐ	h o n ɡ u
ひなんしじ	ç i n ã ɰ ɕ i ʑ i
べんしょうほう	b ẽ ɰ ɕ o h o
おんねつりょうほう	õ n e t͡s ɨ ɾʲ o h o
になう	ɲ i n a ɯ
たかひと	t a k a ç i t o
げきだん	ɡ e kʲ i d ã ɴ
てんどうせつ	t ẽ n d o s e t͡s ɨ
タフネス	t a ɸ ɯ n e s ɨ
もうきょう	m o kʲ o
さぎちょう	s a ɡʲ i t͡ɕ o
びょうじょく	bʲ o ʑ o k ɯ
えいようえん	e j o ẽ ɴ
さわやか	s a ɰ a j a k a
れいほん	ɾ e h õ ɴ
とりくむ	t o ɾʲ i k ɯ m ɯ
りくちゅう	ɾʲ i k ɯ t͡ɕ ɨ
れっとう	ɾ e t̚ t o
おぬし	o n ɯ ɕ i
じこいしき	d͡ʑ i k o i ɕ i kʲ i
かたて	k a t a t e
あんざん	ã n d͡z ã ɴ
しむ	ɕ i m ɯ
いっしんじょう	i ɕ ĩ ɲ d͡ʑ o
なめ	n a m e
はばつ	h a b a t͡s ɨ
こくほう	k o k ɯ h o
オーバータイム	o b a t a i m ɯ
けんぶつにん	k ẽ m b ɯ t͡s ɨ ɲ ĩ ɴ
すっぱい	s ɨ p̚ p a i
バイク	b a i k ɯ
しんはんにん	ɕ ĩ ɰ h ã ɲ ɲ ĩ ɴ
あまる	a m a ɾ ɯ
しゅうなん	ɕ ɨ n ã ɴ
はねとばす	h a n e t o b a s ɨ
ラビ	ɾ a bʲ i
きゅうちゃくおん	kʲ ɨ t͡ɕ a k ɯ õ ɴ
ちゅうかりょうり	t͡ɕ ɨ k a ɾʲ o ɾʲ i
キュー	kʲ ɨ
いんも	ĩ m o
スタンガン	s ɨ t ã ŋ ɡ ã ɴ
しょうせん	ɕ o s ẽ ɴ
みだしご	mʲ i d a ɕ i ɡ o
あかぼうくじら	a k a b o k ɯ ʑ i ɾ a
ひげそり	ç i ɡ e s o ɾʲ i
ナショナルフットボールリーグ	n a ɕ o n a ɾ ɯ ɸ ɯ t̚ t o b o ɾ ɯ ɾʲ i ɡ ɯ
ようやく	j o j a k ɯ
おいる	o i ɾ ɯ
もうたくとうしそう	m o t a k ɯ t o ɕ i s o
たんしだい	t ã ɰ ɕ i d a i
ごっかん	ɡ o k̚ k ã ɴ
ニャ	ɲ a
あつま	a t͡s ɨ m a
タイア	t a i a
ちょくりつ	t͡ɕ o k ɯ ɾʲ i t͡s ɨ
ろくじゅう	ɾ o k ɯ ʑ ɨ
まっさかさま	m a s a k a s a m a
ブラチスラバ	b ɯ ɾ a t͡ɕ i s ɨ ɾ a b a
よぎしゃ	j o ɡʲ i ɕ a
たちよる	t a t͡ɕ i j o ɾ ɯ
あおる	a o ɾ ɯ
あぶなっかしい	a b ɯ n a k̚ k a ɕ i
しきもう	ɕ i kʲ i m o
すわりこむ	s ɨ ɰ a ɾʲ i k o m ɯ
しせいかん	ɕ i s e k ã ɴ
あんえい	a ɴ e
スカイダイビング	s ɨ k a i d a i bʲ ĩ ŋ ɡ ɯ
しんろ	ɕ ĩ n ɾ o
やましろ	j a m a ɕ i ɾ o
しにせ	ɕ i ɲ i s e
あいさつ	a i s a t͡s ɨ
はいめんきじょうい	h a i m ẽ ŋ ʲkʲ i ʑ o i
ブラックリスト	b ɯ ɾ a k̚ k ɯ ɾʲ i s ɨ t o
こくじら	k o k ɯ ʑ i ɾ a
きまつ	kʲ i m a t͡s ɨ
ばくしん	b a k ɯ ɕ ĩ ɴ
せんたくこうり	s ẽ n t a k ɯ k o ɾʲ i
きんむいん	kʲ ĩ m ɯ ĩ ɴ
ききはずす	kʲ i kʲ i h a z ɨ s ɨ
シュメール	ɕ ɨ m e ɾ ɯ
おれつえぇ	o ɾ e t͡s ɨ e
こうばしい	k o b a ɕ i i
ソネット	s o n e t̚ t o
えいようしっちょう	e j o ɕ i t̚ t͡ɕ o
しゅうせきかいろ	ɕ ɨ s e kʲ i k a i ɾ o
あいじょう	a i ʑ o
えちぜんくらげ	e t͡ɕ i z ẽ ŋ k ɯ ɾ a ɡ e
だがし	d a ɡ a ɕ i
なんきょく	n ã ŋʲ kʲ o k ɯ
インパウンヤード	ĩ m p a ɯ ɰ j a d o
たびじ	t a bʲ i ʑ i
さざえ	s a z a e
ウオツカ	ɯ o t͡s ɨ k a
すさ	s ɨ s a
くふう	k ɯ ɸ ɯ
イタリア	i t a ɾʲ i a
かど	k a d o
しんゆう	ɕ ĩ ɰ j ɯ
だい	d a i
しっぷうどとう	ɕ i p̚ p ɯ d o t o
ゆうれいやしき	j ɯ ɾ e j a ɕ i kʲ i
つみぶかい	t͡s ɨ mʲ i b ɯ k a i
かんど	k ã n d o
あわや	a ɰ a j a
てんさく	t ẽ ɰ s a k ɯ
イスラエル	i s ɨ ɾ a e ɾ ɯ
はすうしょり	h a s ɨ ɕ o ɾʲ i
きんばく	kʲ ĩ m b a k ɯ
いっこ	i k̚ k o
しゅをいれる	ɕ ɨ o i ɾ e ɾ ɯ
けつだん	k e t͡s ɨ d ã ɴ
ぜっさん	d͡z e s ã ɴ
もっとも	m o t̚ t o m o
とうどり	t o d o ɾʲ i
せいいっぱい	s e i p̚ p a i
あんないしょ	ã n a i ɕ o
アベック	a b e k̚ k ɯ
キャプション	kʲ a p ɯ ɕ õ ɴ
ヌー	n ɯ
ひんぱん	ç ĩ m p ã ɴ
えいようふりょう	e j o ɸ ɯ ɾʲ o
ずあん	d͡z ɨ ã ɴ
ゴジラ	ɡ o ʑ i ɾ a
どきどき	d o kʲ i d o kʲ i
テリヤ	t e ɾʲ i j a
しゃが	ɕ a ɡ a
こつずい	k o t͡s ɨ z ɨ i
げんつき	ɡ ẽ n t͡s ɨ kʲ i
シャワーズ	ɕ a ɰ a z ɨ
キャッシュディスペンサー	kʲ a ɕ ɯ dʲ i s ɨ p ẽ ɰ s a
かたりあう	k a t a ɾʲ i a ɯ
はついく	h a t͡s ɨ i k ɯ
アプライアンス	a p ɯ ɾ a i ã ɰ s ɨ
ひせいしき	ç i s e ɕ i kʲ i
バタフライ	b a t a ɸ ɯ ɾ a i
ぐせい	ɡ ɯ s e
ひめる	ç i m e ɾ ɯ
とうきゃくだいけい	t o kʲ a k ɯ d a i k e
はんきゅう	h ã ŋʲ kʲ ɨ
だてんし	d a t ẽ ɰ ɕ i
ばいこくど	b a i k o k ɯ d o
カッターナイフ	k a t̚ t a n a i ɸ ɯ
はいでん	h a i d ẽ ɴ
けんえつ	k ẽ ɰ e t͡s ɨ
ファイバーオプティックス	ɸ a i b a o p ɯ tʲ i k̚ k ɯ s ɨ
だいいんしん	d a i ĩ ɰ ɕ ĩ ɴ
ししつ	ɕ i ɕ i t͡s ɨ
なみだごえ	n a mʲ i d a ɡ o e
ひるさがり	ç i ɾ ɯ s a ɡ a ɾʲ i
やらい	j a ɾ a i
だいひつ	d a i ç i t͡s ɨ
フルネーム	ɸ ɯ ɾ ɯ n e m ɯ
きんらい	kʲ ĩ n ɾ a i
めしあがる	m e ɕ i a ɡ a ɾ ɯ
かつひろ	k a t͡s ɨ ç i ɾ o
しめいかん	ɕ i m e k ã ɴ
くんどく	k ɯ n d o k ɯ
ボコーダー	b o k o d a
とおり	t o ɾʲ i
ほこうしゃ	h o k o ɕ a
としゅ	t o ɕ ɨ
こくひん	k o k ɯ ç ĩ ɴ
とちぎけん	t o t͡ɕ i ɡʲ i k ẽ ɴ
からくだもの	k a ɾ a k ɯ d a m o n o
やまね	j a m a n e
しゅうさ	ɕ ɨ s a
いかけや	i k a k e j a
けんない	k ẽ n a i
ちょうじょ	t͡ɕ o ʑ o
ボーイッシュ	b o i ɕ ɯ
ちめいがく	t͡ɕ i m e ɡ a k ɯ
ネイプルズ	n e p ɯ ɾ ɯ z ɨ
とけい	t o k e
ししょごきょう	ɕ i ɕ o ɡ o kʲ o
いのなかのかわずたいかいをしらず	i n o n a k a n o k a ɰ a z ɨ t a i k a i o ɕ i ɾ a z ɨ
くうさつ	k ɯ s a t͡s ɨ
むが	m ɯ ɡ a
そうざい	s o z a i
しょうさんげん	ɕ o s ã ŋ ɡ ẽ ɴ
プシー	p ɯ ɕ i
ティーネージャー	tʲ i n e ʑ a
ちせいがく	t͡ɕ i s e ɡ a k ɯ
えんしゅうりつ	ẽ ɰ ɕ ɨ ɾʲ i t͡s ɨ
さくじつ	s a k ɯ ʑ i t͡s ɨ
グリコーゲン	ɡ ɯ ɾʲ i k o ɡ ẽ ɴ
さんざし	s ã n d͡z a ɕ i
ぜい	d͡z e
こり	k o ɾʲ i
いただきます	i t a d a kʲ i m a s ɨ
しゅう	ɕ ɨ
はいえん	h a i ẽ ɴ
ふくいんしょ	ɸ ɯ k ɯ ĩ ɰ ɕ o
ほっぽらかす	h o p̚ p o ɾ a k a s ɨ
パパイヤ	p a p a i j a
そうせいき	s o s e kʲ i
しえい	ɕ i e
あしか	a ɕ i k a
とうき	t o kʲ i
そうほん	s o h õ ɴ
コーラン	k o ɾ ã ɴ
いちや	i t͡ɕ i j a
みんよう	mʲ ĩ ɰ j o
たんまつ	t ã m a t͡s ɨ
ききつける	kʲ i kʲ i t͡s ɨ k e ɾ ɯ
ばらにく	b a ɾ a ɲ i k ɯ
か	j a m o m e
だいりてん	d a i ɾʲ i t ẽ ɴ
いろえんぴつ	i ɾ o ẽ m pʲ i t͡s ɨ
こうご	k o ɡ o
どくしゃ	d o k ɯ ɕ a
はるお	h a ɾ ɯ o
まちどおしい	m a t͡ɕ i d o ɕ i
トラブル	t o ɾ a b ɯ ɾ ɯ
ぶさほう	b ɯ s a h o
なやましい	n a j a m a ɕ i
てんすう	t ẽ ɰ s ɨ
アイヌ	a i n ɯ
じじゅ	d͡ʑ i ʑ ɨ
あいかた	a i k a t a
けしょうしつ	k e ɕ o ɕ i t͡s ɨ
ちょうせんじん	t͡ɕ o s ẽ ɲ d͡ʑ ĩ ɴ
あやめ	a j a m e
スタッカート	s ɨ t a k̚ k a t o
スナネズミ	s ɨ n a n e z ɨ mʲ i
みつえい	mʲ i t͡s ɨ e
フェナジン	ɸ e n a ʑ ĩ ɴ
じげしょうめいしょ	d͡ʑ i ɡ e ɕ o m e ɕ o
はいぶん	h a i b ɯ ɴ
ほこ	h o k o
えんけいだつもうしょう	ẽ ŋ k e d a t͡s ɨ m o ɕ o
くもま	k ɯ m o m a
ジュース	d͡ʑ ɨ s ɨ
どくせんよく	d o k ɯ s ẽ ɰ j o k ɯ
さしょう	s a ɕ o
ガ	ɡ a
ずしき	d͡z ɨ ɕ i kʲ i
じょうちゅう	d͡ʑ o t͡ɕ ɨ
ばっすい	b a s ɯ i
おおとかげ	o t o k a ɡ e
うったえる	ɯ t̚ t a e ɾ ɯ
おさななじみ	o s a n a n a ʑ i mʲ i
きゅうきゅうしゃ	kʲ ɨ kʲ ɨ ɕ a
はなぢ	h a n a ʑ i
ぎゃくさつ	ɡʲ a k ɯ s a t͡s ɨ
くうしょう	k ɯ ɕ o
たいてい	t a i t e
じゃしん	d͡ʑ a ɕ ĩ ɴ
ファウンデーション	ɸ a ɯ n d e ɕ õ ɴ
げいのう	ɡ e n o
あかし	a k a ɕ i
エピローグ	e pʲ i ɾ o ɡ ɯ
ブントケーキ	b ɯ n t o k e kʲ i
はざま	h a z a m a
くろむぎ	k ɯ ɾ o m ɯ ɡʲ i
ケー	k e
どくぶつ	d o k ɯ b ɯ t͡s ɨ
ひょうめん	ç o m ẽ ɴ
カンパラ	k ã m p a ɾ a
マゾヒスト	m a z o ç i s ɨ t o
しゃれる	ɕ a ɾ e ɾ ɯ
でんでん	d ẽ n d ẽ ɴ
とうじょう	t o ʑ o
ひっこみじあん	ç i k̚ k o mʲ i ʑ i ã ɴ
じめいきん	d͡ʑ i m e kʲ ĩ ɴ
まつかさ	m a t͡s ɨ k a s a
パンイチ	p ã ɰ i t͡ɕ i
こだかい	k o d a k a i
わりちゅう	ɰ a ɾʲ i t͡ɕ ɨ
そんらく	s õ n ɾ a k ɯ
チーズバーガー	t͡ɕ i z ɨ b a ɡ a
かんがえつく	k ã ŋ ɡ a e t͡s ɨ k ɯ
